id	state_name	county_name	pop2014	bush_donors	bush_donations	carson_donors	carson_donations	christie_donors	christie_donations	clinton_donors	clinton_donations	cruz_donors	cruz_donations	fiorina_donors	fiorina_donations	graham_donors	graham_donations	huckabee_donors	huckabee_donations	jindal_donors	jindal_donations	kasich_donors	kasich_donations	omalley_donors	omalley_donations	pataki_donors	pataki_donations	paul_donors	paul_donations	rubio_donors	rubio_donations	sanders_donors	sanders_donations	santorum_donors	santorum_donations	trump_donors	trump_donations
1111	Alabama	Randolph County	22539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1113	Alabama	Russell County	59608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1117	Alabama	Shelby County	206655	18	45670	35	26850	0	0	5	3916	25	26300	0	0	0	0	3	2250	0	0	1	250	0	0	0	0	10	2865	11	8250	1	250	0	0	2	1738
1115	Alabama	St. Clair County	86697	0	0	5	2950	0	0	1	250	7	2600	0	0	0	0	2	1250	0	0	0	0	0	0	0	0	1	201	1	1000	0	0	0	0	1	250
1119	Alabama	Sumter County	13166	0	0	3	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121	Alabama	Talladega County	81322	0	0	1	2000	0	0	1	265	1	250	0	0	0	0	21	14100	0	0	1	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1123	Alabama	Tallapoosa County	41165	0	0	0	0	0	0	1	250	0	0	0	0	0	0	3	1250	0	0	0	0	0	0	0	0	0	0	1	250	0	0	0	0	1	250
1125	Alabama	Tuscaloosa County	202212	2	3700	16	7950	0	0	1	216	2	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8700	1	500	0	0	1	2700
1127	Alabama	Walker County	65471	0	0	2	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1129	Alabama	Washington County	16834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1131	Alabama	Wilcox County	11098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	250	0	0	0	0	0	0	0	0
1133	Alabama	Winston County	24150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	255
2013	Alaska	Aleutians East Borough	3360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2016	Alaska	Aleutians West Census Area	5750	0	0	1	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	Alaska	Anchorage Municipality	301010	6	7650	41	19850	0	0	25	21800	9	2450	4	3950	1	250	1	500	0	0	3	1050	0	0	0	0	12	8651	10	4300	27	12450	0	0	1	500
2050	Alaska	Bethel Census Area	17868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2060	Alaska	Bristol Bay Borough	957	0	0	2	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2068	Alaska	Denali Borough	1921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2070	Alaska	Dillingham Census Area	4988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2090	Alaska	Fairbanks North Star Borough	99357	0	0	6	1500	0	0	1	250	4	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1250	1	400	7	5000	1	250	2	1500
2100	Alaska	Haines Borough	2566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2105	Alaska	Hoonah-Angoon Census Area	2082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	322	0	0	0	0
2110	Alaska	Juneau City and Borough	32406	0	0	3	1750	0	0	5	566	2	1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1000	0	0	0	0
2122	Alaska	Kenai Peninsula Borough	57477	1	250	9	3300	0	0	1	2500	2	500	2	401	0	0	3	1703	0	0	0	0	0	0	0	0	2	1250	0	0	6	1750	0	0	1	1000
2130	Alaska	Ketchikan Gateway Borough	13787	0	0	2	500	0	0	0	0	1	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2150	Alaska	Kodiak Island Borough	13986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	250	0	0	2	1250	0	0	0	0
2164	Alaska	Lake and Peninsula Borough	1631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2170	Alaska	Matanuska-Susitna Borough	97882	0	0	14	3500	0	0	1	250	10	2401	2	800	0	0	0	0	0	0	0	0	0	0	0	0	5	1351	2	600	4	1250	0	0	0	0
2180	Alaska	Nome Census Area	9817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2185	Alaska	North Slope Borough	9703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	250	0	0	0	0
2188	Alaska	Northwest Arctic Borough	7717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	250	0	0	0	0
2195	Alaska	Petersburg Census Area	3160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2198	Alaska	Prince of Wales-Hyder Census Area	6396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2220	Alaska	Sitka City and Borough	8900	0	0	5	1250	0	0	1	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	500	0	0	0	0
2230	Alaska	Skagway Municipality	1036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
